Area,Year,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Item,hg/ha_yield
Nigeria,2014,700.9,8.17,24.2,Potatoes,16398.0
Kenya,2009,1050.5,16.01,29.04,Rice,8473.0
Ethiopia,2006,1123.6,31.93,29.79,Rice,7496.0
Tanzania,2004,1140.2,28.43,21.75,Sorghum,7320.0
India,2011,1156.7,13.1,19.87,Potatoes,16737.0
Kenya,2014,1463.8,11.81,18.32,Sorghum,5371.0
Ethiopia,2019,719.9,3.7,25.91,Sorghum,5632.0
Ethiopia,2009,1161.5,6.39,16.51,Maize,8524.0
Kenya,2003,1551.5,19.2,20.99,Wheat,9585.0
Tanzania,2017,492.9,13.33,22.41,Potatoes,16197.0
India,2013,1162.9,15.8,19.99,Cassava,11098.0
Kenya,2014,895.1,34.17,23.12,Maize,10450.0
India,2002,970.3,5.76,32.26,Maize,2815.0
Nigeria,2006,783.3,12.32,21.51,Cassava,12724.0
Kenya,2016,1040.7,17.3,20.26,Cassava,12901.0
Nigeria,2017,1744.4,8.47,26.06,Wheat,9497.0
Kenya,2009,657.4,46.77,22.96,Rice,8988.0
Ethiopia,2016,690.6,30.78,27.76,Potatoes,15255.0
Tanzania,2017,644.3,18.77,22.66,Wheat,6690.0
India,2008,1704.6,62.51,21.01,Wheat,8478.0
Kenya,2018,938.2,4.49,14.87,Rice,6475.0
Tanzania,2006,1091.0,14.79,15.52,Potatoes,16713.0
Nigeria,2005,959.0,19.95,14.66,Wheat,6067.0
Tanzania,2014,769.5,7.16,23.52,Rice,8352.0
India,2013,1017.7,18.93,16.55,Wheat,6795.0
Ethiopia,2002,1960.4,6.14,27.02,Sorghum,7679.0
Nigeria,2017,1587.2,25.85,22.12,Maize,12438.0
Nigeria,2004,801.5,34.68,21.02,Wheat,8253.0
India,2016,1326.7,18.5,18.62,Wheat,8636.0
Ethiopia,2000,809.0,3.38,24.49,Cassava,11481.0
Ethiopia,2016,478.3,6.87,18.78,Cassava,11071.0
Ethiopia,2016,1456.8,23.38,18.06,Potatoes,17198.0
Ethiopia,2016,1506.0,15.13,26.75,Maize,9414.0
Kenya,2013,1466.1,1.72,23.42,Sorghum,6926.0
Kenya,2009,935.5,40.22,21.06,Rice,9902.0
Tanzania,2014,1041.6,16.6,24.57,Cassava,12044.0
Kenya,2005,1362.4,7.73,22.04,Rice,11184.0
Tanzania,2016,1237.0,32.98,23.53,Cassava,12864.0
Kenya,2011,962.2,8.65,18.73,Sorghum,5407.0
India,2009,533.3,8.58,30.28,Wheat,2554.0
Ethiopia,2010,1139.9,19.82,19.68,Sorghum,7551.0
Nigeria,2011,1477.7,61.86,28.22,Wheat,8250.0
Ethiopia,2000,680.8,54.54,21.24,Rice,9073.0
Nigeria,2002,1323.6,19.84,25.23,Wheat,8066.0
Nigeria,2005,1216.0,21.54,24.94,Sorghum,5241.0
Nigeria,2002,1362.6,28.03,26.59,Wheat,8003.0
Ethiopia,2009,1405.2,5.44,18.64,Potatoes,17986.0
Nigeria,2014,856.9,24.91,26.3,Potatoes,16609.0
Tanzania,2013,534.1,8.27,29.39,Sorghum,4170.0
Nigeria,2009,913.3,19.2,20.97,Cassava,10908.0
Ethiopia,2017,1411.2,12.4,22.14,Maize,10926.0
Kenya,2011,910.3,22.22,19.91,Cassava,13407.0
Ethiopia,2001,857.1,16.35,20.61,Maize,10014.0
Kenya,2016,462.5,1.27,28.85,Potatoes,14199.0
Kenya,2012,1713.4,17.17,17.98,Rice,9780.0
Tanzania,2013,1389.0,24.87,18.23,Potatoes,16964.0
Kenya,2011,1369.5,21.26,28.44,Sorghum,4893.0
Nigeria,2011,1438.7,13.71,24.5,Cassava,12172.0
Tanzania,2001,1301.8,55.35,30.48,Rice,7410.0
Tanzania,2011,1014.5,19.09,20.2,Cassava,11478.0
Kenya,2016,1042.7,21.12,22.51,Wheat,7607.0
Kenya,2006,950.4,34.32,19.36,Wheat,7828.0
Ethiopia,2012,2022.2,19.89,22.57,Rice,11318.0
Nigeria,2000,1294.6,7.25,14.9,Potatoes,15777.0
Tanzania,2007,937.7,2.12,24.74,Sorghum,5513.0
Ethiopia,2009,1262.9,10.16,23.29,Sorghum,6680.0
Kenya,2020,746.2,27.35,21.77,Wheat,8802.0
Ethiopia,2004,1626.6,11.22,20.44,Wheat,9146.0
Tanzania,2005,868.6,28.25,18.42,Cassava,9706.0
Kenya,2008,1275.4,16.76,24.91,Rice,10552.0
Ethiopia,2020,1473.1,41.7,17.32,Wheat,8670.0
Kenya,2017,1234.7,11.75,24.05,Cassava,11891.0
Kenya,2000,1133.1,21.63,30.3,Rice,6127.0
Tanzania,2004,1103.8,22.3,27.94,Cassava,12156.0
Kenya,2017,1080.2,49.47,15.98,Cassava,9825.0
Ethiopia,2001,898.2,3.8,19.85,Cassava,11920.0
Tanzania,2017,942.7,10.31,23.69,Potatoes,17681.0
India,2005,1617.9,29.34,21.72,Sorghum,8236.0
Kenya,2019,1062.0,51.25,16.4,Cassava,12531.0
Nigeria,2006,825.0,18.03,23.54,Wheat,7984.0
Tanzania,2009,919.3,11.77,21.96,Maize,8596.0
Nigeria,2013,1485.1,27.27,29.66,Wheat,7533.0
Nigeria,2002,1336.5,29.81,20.99,Potatoes,18473.0
Nigeria,2011,1296.1,11.16,26.67,Potatoes,17884.0
India,2010,1009.9,19.38,16.93,Maize,6893.0
Kenya,2016,1300.7,38.26,17.89,Potatoes,17045.0
Tanzania,2020,874.8,67.52,24.89,Wheat,7808.0
Tanzania,2013,1009.1,26.95,26.33,Potatoes,17510.0
Kenya,2008,1439.4,15.41,18.17,Potatoes,16506.0
Tanzania,2008,1406.0,14.25,22.1,Potatoes,19154.0
Tanzania,2008,756.3,23.24,16.47,Rice,7501.0
India,2017,800.6,13.56,21.28,Rice,10493.0
Ethiopia,2006,1138.0,17.32,25.35,Sorghum,5942.0
Nigeria,2003,1704.1,6.38,20.26,Sorghum,6897.0
Tanzania,2007,429.6,42.0,21.0,Sorghum,5499.0
Kenya,2000,1197.4,5.98,17.48,Rice,8480.0
Tanzania,2002,618.4,10.53,19.41,Rice,9958.0
Tanzania,2001,878.0,16.09,29.03,Wheat,5148.0
India,2016,972.5,73.17,22.29,Potatoes,18297.0
Ethiopia,2015,952.8,10.61,17.99,Maize,9065.0
Nigeria,2014,913.2,8.73,20.74,Rice,9064.0
Kenya,2009,1102.5,9.58,15.61,Wheat,4672.0
Tanzania,2015,912.7,56.1,17.94,Potatoes,17876.0
Ethiopia,2003,588.1,1.57,27.44,Cassava,8495.0
Kenya,2018,1373.0,6.67,21.43,Cassava,11416.0
India,2010,1363.5,100.0,29.56,Rice,10079.0
India,2019,1395.1,23.87,21.62,Maize,10593.0
India,2003,560.7,6.14,21.86,Wheat,5196.0
Kenya,2010,1204.6,14.39,24.56,Maize,8813.0
India,2014,1336.6,15.7,11.31,Sorghum,920.0
India,2010,739.1,29.28,22.82,Cassava,12834.0
India,2009,1103.2,64.82,21.8,Potatoes,19413.0
Tanzania,2003,1059.3,20.3,27.94,Wheat,5866.0
Ethiopia,2008,1744.8,9.66,25.86,Maize,10832.0
Ethiopia,2005,1773.6,27.93,17.47,Cassava,11675.0
Tanzania,2006,517.5,8.51,26.97,Wheat,4750.0
Nigeria,2014,1972.9,6.51,20.95,Maize,11683.0
Nigeria,2013,779.7,3.64,18.38,Wheat,7088.0
Ethiopia,2012,1443.2,4.25,22.79,Wheat,8423.0
India,2007,1439.7,7.26,21.19,Potatoes,18670.0
India,2020,751.5,5.8,28.15,Cassava,9307.0
Kenya,2001,1272.6,19.12,23.36,Wheat,7956.0
Nigeria,2007,1062.4,5.7,22.82,Sorghum,6326.0
Tanzania,2002,1294.0,1.2,25.6,Maize,8797.0
Ethiopia,2007,1180.7,6.46,26.37,Maize,9043.0
Ethiopia,2020,1518.7,10.2,25.13,Maize,10422.0
Tanzania,2007,1126.4,9.17,27.68,Cassava,10743.0
Kenya,2019,1041.2,50.18,24.43,Potatoes,17016.0
Ethiopia,2010,1483.6,9.11,22.67,Sorghum,6481.0
Nigeria,2014,1303.1,30.11,26.96,Maize,9772.0
India,2009,1356.1,14.66,21.64,Maize,11222.0
Kenya,2005,867.4,14.38,22.13,Cassava,11560.0
Nigeria,2016,734.2,7.63,28.89,Maize,6425.0
Kenya,2020,901.3,14.2,28.49,Maize,7304.0
India,2005,882.7,8.07,21.97,Potatoes,16240.0
India,2016,1375.2,17.05,20.19,Potatoes,19511.0
Nigeria,2005,1441.6,12.32,27.85,Wheat,7483.0
Ethiopia,2015,1045.7,6.99,25.2,Rice,9042.0
Kenya,2016,1600.8,32.9,23.26,Sorghum,7594.0
Tanzania,2009,1579.0,20.94,20.71,Rice,10839.0
India,2015,1185.2,10.4,23.33,Rice,11265.0
Ethiopia,2005,812.3,16.72,21.91,Maize,8856.0
Nigeria,2001,1651.4,13.91,19.34,Rice,11564.0
India,2002,1078.6,7.43,22.52,Sorghum,6689.0
India,2009,1144.2,15.74,23.06,Potatoes,17236.0
Nigeria,2018,981.1,9.05,20.5,Cassava,12067.0
Ethiopia,2002,788.6,6.99,25.62,Maize,8498.0
India,2009,586.0,4.06,27.16,Maize,5455.0
India,2014,1321.5,11.17,25.88,Potatoes,17825.0
Nigeria,2004,825.8,23.42,20.9,Wheat,7572.0
Kenya,2015,2170.8,8.54,25.02,Potatoes,19910.0
Nigeria,2006,719.9,100.0,22.31,Cassava,12811.0
India,2016,659.9,30.22,17.06,Rice,8439.0
Tanzania,2012,1278.5,42.24,24.69,Potatoes,19724.0
Nigeria,2011,1635.3,28.11,22.58,Sorghum,7142.0
Ethiopia,2003,1122.6,65.52,32.37,Maize,5301.0
Nigeria,2009,1300.3,7.93,27.83,Cassava,11750.0
Kenya,2017,454.8,1.92,24.84,Wheat,6198.0
Kenya,2000,862.9,10.41,23.0,Sorghum,6223.0
India,2015,724.2,23.26,22.65,Potatoes,19601.0
Tanzania,2010,436.7,16.8,17.99,Maize,7940.0
Tanzania,2015,1140.9,18.55,15.04,Sorghum,5529.0
Nigeria,2013,315.0,42.81,18.51,Wheat,6011.0
Kenya,2009,637.2,20.2,21.81,Potatoes,16110.0
Tanzania,2006,912.0,28.19,13.58,Cassava,8354.0
Nigeria,2013,809.0,7.02,19.82,Cassava,12013.0
Ethiopia,2002,1238.7,6.19,21.01,Cassava,12640.0
Tanzania,2012,1207.0,54.12,21.14,Rice,11397.0
India,2001,1412.8,16.13,19.35,Potatoes,18042.0
India,2013,1363.3,9.04,20.63,Wheat,7715.0
Ethiopia,2013,1499.3,9.05,28.9,Cassava,10633.0
Tanzania,2001,1099.3,8.85,24.65,Rice,10488.0
Nigeria,2015,1206.2,8.44,19.76,Sorghum,7511.0
Nigeria,2008,1279.0,5.33,21.73,Rice,9885.0
India,2016,1149.6,4.48,21.89,Sorghum,6982.0
India,2000,961.0,12.73,18.93,Wheat,6295.0
Kenya,2003,983.6,9.26,18.92,Sorghum,6099.0
Ethiopia,2010,813.9,36.08,26.04,Maize,8424.0
Ethiopia,2003,1247.6,18.81,20.32,Maize,11309.0
Tanzania,2006,1067.1,18.4,17.62,Rice,8984.0
India,2013,867.9,8.21,21.83,Rice,9592.0
Ethiopia,2003,868.2,13.51,22.47,Sorghum,6649.0
India,2014,676.4,19.86,14.11,Rice,5597.0
India,2002,1442.6,26.39,21.84,Maize,10203.0
Ethiopia,2003,1127.5,13.8,25.47,Wheat,7205.0
Nigeria,2012,798.0,35.28,23.8,Rice,9576.0
Tanzania,2016,1383.0,14.98,30.92,Potatoes,14692.0
Nigeria,2003,903.8,28.06,27.0,Potatoes,17983.0
Kenya,2006,607.7,10.06,27.8,Wheat,4538.0
India,2019,1457.4,3.49,33.2,Potatoes,13323.0
Nigeria,2020,912.0,18.44,25.03,Potatoes,17852.0
Nigeria,2012,956.9,26.58,22.65,Sorghum,5427.0
India,2009,1114.4,23.58,25.89,Potatoes,17790.0
Tanzania,2007,1499.9,20.86,19.76,Sorghum,6015.0
Ethiopia,2012,1107.0,11.26,22.43,Wheat,8461.0
Nigeria,2012,680.3,7.8,19.41,Sorghum,5055.0
Kenya,2006,1290.4,23.14,23.59,Maize,9879.0
India,2000,930.3,20.93,19.39,Maize,7590.0
Nigeria,2003,1760.8,9.5,19.25,Cassava,13487.0
Ethiopia,2020,1099.6,36.15,23.65,Rice,11372.0
India,2008,317.7,7.34,21.45,Potatoes,15269.0
Nigeria,2010,1225.1,9.33,14.29,Potatoes,15314.0
Nigeria,2009,1780.6,55.1,16.18,Sorghum,7828.0
Nigeria,2016,1651.6,29.81,17.41,Wheat,9065.0
Ethiopia,2001,1740.8,11.17,18.47,Wheat,6545.0
Kenya,2001,743.1,18.73,23.66,Maize,10406.0
Tanzania,2005,1419.3,16.84,22.88,Cassava,13216.0
Kenya,2010,847.3,1.65,26.26,Wheat,6799.0
Ethiopia,2014,1178.5,7.21,25.01,Potatoes,17664.0
India,2010,654.5,14.29,26.29,Rice,6557.0
Kenya,2009,874.4,11.19,24.43,Maize,9232.0
India,2019,863.3,18.13,22.84,Rice,9031.0
India,2003,1414.5,36.73,26.4,Maize,9982.0
India,2012,1380.3,11.5,25.68,Wheat,7404.0
Ethiopia,2011,1196.9,6.38,23.5,Maize,9841.0
Kenya,2009,627.4,19.3,27.08,Sorghum,3609.0
Tanzania,2016,990.9,11.46,12.62,Potatoes,14568.0
Ethiopia,2005,838.9,13.13,20.84,Cassava,10412.0
Tanzania,2020,1404.4,11.78,20.78,Rice,12820.0
Kenya,2006,1512.4,89.43,26.61,Wheat,10826.0
Kenya,2011,1469.7,2.48,28.29,Potatoes,18262.0
India,2010,835.7,10.91,16.2,Cassava,10836.0
Tanzania,2017,250.0,14.84,27.64,Potatoes,14663.0
Tanzania,2009,481.6,7.97,17.31,Maize,8141.0
India,2005,1597.6,30.57,17.44,Wheat,7949.0
Ethiopia,2000,959.6,28.52,21.06,Cassava,10601.0
Tanzania,2007,837.2,14.32,20.73,Potatoes,18737.0
India,2017,1674.9,11.98,15.77,Cassava,12332.0
Kenya,2000,1542.8,13.6,24.6,Potatoes,18566.0
Kenya,2018,1108.6,13.68,24.72,Maize,8009.0
Tanzania,2011,997.3,13.98,26.22,Cassava,10476.0
Ethiopia,2002,1053.8,12.8,20.27,Sorghum,4736.0
India,2006,1179.5,18.21,21.84,Sorghum,7418.0
Kenya,2011,1660.0,27.18,21.88,Cassava,11916.0
Ethiopia,2006,1247.9,5.56,28.75,Wheat,6335.0
Ethiopia,2002,1354.1,6.42,10.66,Cassava,6032.0
Ethiopia,2013,1509.2,3.67,18.17,Wheat,6732.0
India,2014,690.6,29.76,22.02,Cassava,11380.0
Tanzania,2002,1364.2,18.18,17.66,Wheat,7325.0
Tanzania,2005,996.9,22.29,20.97,Potatoes,18634.0
India,2005,250.0,4.74,21.5,Sorghum,3169.0
Ethiopia,2013,355.1,62.05,19.37,Maize,7719.0
Tanzania,2015,743.7,9.14,22.26,Maize,6521.0
Nigeria,2015,1285.9,17.02,24.51,Cassava,10534.0
Nigeria,2019,1139.8,29.47,21.05,Maize,11728.0
India,2016,1164.5,6.76,20.19,Potatoes,19591.0
India,2006,1782.8,9.61,21.34,Cassava,13330.0
Tanzania,2002,655.8,17.17,21.97,Potatoes,16359.0
Nigeria,2012,1090.4,100.0,15.04,Rice,9350.0
India,2019,1206.6,18.93,23.85,Rice,10971.0
India,2020,842.3,53.79,20.2,Potatoes,17251.0
Ethiopia,2004,1109.9,39.04,27.05,Potatoes,17595.0
Ethiopia,2004,540.0,19.97,24.36,Potatoes,16725.0
India,2000,1593.5,6.74,26.68,Maize,8809.0
Kenya,2002,861.4,34.74,17.96,Potatoes,16507.0
Ethiopia,2011,1811.0,4.49,20.51,Sorghum,8216.0
India,2011,1088.6,53.55,17.03,Sorghum,4908.0
Tanzania,2007,1459.8,17.46,19.18,Maize,10422.0
Nigeria,2006,1081.3,1.79,27.01,Sorghum,5053.0
Ethiopia,2017,1089.2,11.33,27.95,Sorghum,5088.0
Nigeria,2009,895.6,25.11,17.41,Wheat,8143.0
India,2016,1141.7,12.31,20.17,Cassava,11594.0
Nigeria,2020,1211.3,26.36,21.7,Potatoes,19584.0
Kenya,2006,825.5,7.54,24.34,Rice,7569.0
Nigeria,2004,1056.2,5.23,14.96,Sorghum,3949.0
Nigeria,2020,886.5,14.05,15.59,Potatoes,16036.0
India,2013,1904.9,15.26,23.96,Potatoes,21178.0
Tanzania,2006,1068.6,11.26,14.2,Wheat,3221.0
Tanzania,2013,1640.8,39.72,20.21,Cassava,13375.0
India,2010,1031.5,7.54,22.65,Cassava,12875.0
Ethiopia,2019,1190.8,19.12,23.66,Maize,9075.0
Nigeria,2005,637.5,15.71,21.43,Sorghum,5632.0
Kenya,2020,943.5,4.28,20.54,Maize,9142.0
Tanzania,2019,1173.7,5.18,25.38,Rice,9912.0
Tanzania,2003,1655.1,15.02,23.14,Cassava,14617.0
Tanzania,2003,1177.7,72.6,19.41,Wheat,8982.0
Ethiopia,2011,1584.3,23.65,22.15,Rice,12734.0
Ethiopia,2000,1324.3,3.74,23.53,Wheat,7840.0
Tanzania,2006,1669.6,1.24,28.87,Sorghum,4799.0
Nigeria,2009,1079.3,26.75,25.15,Rice,10027.0
India,2020,1936.6,13.78,26.86,Potatoes,17562.0
Nigeria,2020,930.1,37.08,19.56,Cassava,12469.0
Nigeria,2003,831.7,7.36,19.9,Potatoes,17095.0
India,2018,676.5,19.69,21.06,Sorghum,4839.0
Tanzania,2001,1915.9,29.28,21.43,Maize,11988.0
Ethiopia,2015,1386.8,10.4,17.97,Wheat,6746.0
Tanzania,2017,983.1,10.58,27.06,Cassava,11261.0
Ethiopia,2018,1537.2,15.18,25.53,Cassava,12117.0
Nigeria,2004,1340.7,22.97,20.78,Potatoes,19970.0
Tanzania,2018,1788.1,14.71,24.57,Rice,11105.0
Tanzania,2002,558.3,32.43,22.89,Wheat,7448.0
Tanzania,2010,1007.1,10.28,24.88,Cassava,11558.0
Ethiopia,2009,938.1,5.14,16.62,Sorghum,5509.0
Tanzania,2006,409.2,72.35,21.42,Wheat,7269.0
Tanzania,2000,1471.1,9.17,21.77,Potatoes,17275.0
Tanzania,2016,1005.4,9.44,24.49,Potatoes,18381.0
Kenya,2007,1358.9,14.12,19.49,Rice,10338.0
India,2013,1925.9,15.7,12.0,Cassava,9883.0
Tanzania,2008,976.4,10.92,17.67,Maize,8991.0
India,2007,952.6,14.67,21.76,Wheat,6617.0
Ethiopia,2018,1141.5,14.41,22.26,Maize,8901.0
India,2001,1445.5,17.11,28.73,Sorghum,5685.0
Kenya,2015,901.7,2.26,24.33,Potatoes,16800.0
Nigeria,2015,879.2,67.0,22.33,Cassava,13477.0
India,2007,1470.0,13.23,21.87,Potatoes,18471.0
Nigeria,2005,1232.5,23.68,26.42,Maize,10310.0
India,2000,384.3,4.94,19.64,Rice,8450.0
Ethiopia,2019,671.1,10.21,21.44,Maize,8875.0
India,2019,1625.4,8.69,17.64,Sorghum,6215.0
India,2005,1240.7,48.22,27.68,Sorghum,5912.0
India,2000,833.2,9.31,23.57,Cassava,12135.0
Ethiopia,2002,1040.4,27.29,19.17,Rice,9989.0
Ethiopia,2001,1104.6,8.84,21.54,Wheat,8331.0
Ethiopia,2017,1357.5,10.36,24.04,Maize,9997.0
Nigeria,2018,624.6,12.23,21.0,Rice,9524.0
Nigeria,2003,805.7,41.56,19.86,Rice,11641.0
Ethiopia,2015,1195.5,3.28,19.38,Sorghum,7453.0
Nigeria,2003,1065.1,5.19,23.36,Sorghum,6610.0
Ethiopia,2007,1300.2,3.13,20.57,Maize,10008.0
Ethiopia,2012,669.7,6.23,20.18,Wheat,6087.0
India,2015,1225.0,7.77,16.66,Potatoes,16571.0
Tanzania,2018,1482.1,4.09,22.31,Rice,11196.0
Ethiopia,2000,1270.4,8.27,21.28,Maize,10661.0
Tanzania,2004,1148.7,2.97,20.71,Cassava,12571.0
Nigeria,2005,1066.4,6.59,22.8,Sorghum,5618.0
Kenya,2006,807.8,38.87,24.99,Potatoes,18137.0
Ethiopia,2020,1074.8,20.55,24.81,Wheat,7539.0
Kenya,2016,1540.9,17.29,24.21,Cassava,11841.0
Kenya,2006,1058.3,6.67,21.04,Maize,10389.0
Ethiopia,2020,788.6,4.35,19.73,Rice,10586.0
Nigeria,2010,927.7,5.98,17.82,Sorghum,5783.0
India,2010,1170.3,14.37,19.63,Cassava,12375.0
Kenya,2009,969.3,29.8,22.08,Wheat,8370.0
Tanzania,2003,1269.9,30.63,18.85,Potatoes,19464.0
Ethiopia,2019,1283.0,24.64,22.38,Wheat,9141.0
Kenya,2000,1411.1,8.25,18.14,Maize,8162.0
India,2003,1598.2,15.17,15.36,Rice,10966.0
India,2004,1448.6,11.51,25.28,Cassava,13035.0
India,2005,773.0,12.67,20.1,Sorghum,4970.0
Kenya,2002,783.8,75.92,18.65,Rice,8932.0
Kenya,2000,1073.5,3.63,17.62,Wheat,7109.0
Ethiopia,2014,942.1,12.33,23.69,Maize,8878.0
Nigeria,2020,701.6,39.23,27.5,Wheat,6568.0
Tanzania,2002,945.4,4.61,20.39,Maize,9601.0
Ethiopia,2006,933.9,8.89,21.14,Wheat,6945.0
Kenya,2010,864.9,9.75,26.29,Sorghum,4018.0
Tanzania,2019,989.5,12.45,14.76,Maize,7251.0
Kenya,2014,1512.5,4.15,29.87,Maize,6924.0
Kenya,2016,1169.7,23.96,31.78,Potatoes,14063.0
Nigeria,2012,1965.1,25.36,11.17,Wheat,3721.0
Nigeria,2008,1159.7,22.35,21.61,Rice,10553.0
India,2004,998.5,7.42,19.12,Maize,9279.0
Tanzania,2018,1101.4,15.95,20.94,Wheat,8357.0
Tanzania,2016,1189.8,7.25,20.33,Rice,9491.0
Ethiopia,2000,1252.3,11.4,25.25,Sorghum,5400.0
Tanzania,2015,1826.8,83.33,21.55,Rice,12874.0
India,2001,804.1,16.06,18.36,Potatoes,17118.0
Kenya,2015,1400.7,5.75,21.31,Potatoes,18811.0
Tanzania,2017,1172.7,17.19,24.06,Wheat,7386.0
Kenya,2002,550.1,5.05,17.27,Wheat,5645.0
Nigeria,2009,1369.7,5.7,15.42,Rice,10400.0
India,2002,1543.7,6.47,29.97,Maize,7519.0
Ethiopia,2011,800.0,10.43,19.43,Sorghum,4149.0
Ethiopia,2019,1096.9,31.49,21.45,Potatoes,18555.0
Nigeria,2001,496.1,23.63,20.41,Wheat,8672.0
Tanzania,2008,659.4,22.61,24.19,Rice,8015.0
Ethiopia,2020,1466.8,6.18,29.09,Wheat,6384.0
India,2006,936.8,9.65,24.32,Potatoes,16960.0
Nigeria,2002,711.9,18.5,15.93,Sorghum,4470.0
Kenya,2010,1180.3,9.0,16.46,Maize,8327.0
India,2010,917.2,11.91,20.4,Rice,10508.0
Tanzania,2013,935.2,21.18,20.93,Maize,9300.0
Nigeria,2006,1358.8,11.26,15.11,Rice,10073.0
Kenya,2020,693.4,17.83,25.28,Wheat,6304.0
Kenya,2010,783.1,53.21,17.65,Rice,8856.0
Nigeria,2006,1153.9,12.97,27.97,Rice,8425.0
Nigeria,2020,1439.3,38.22,29.28,Wheat,5218.0
